Artikeltext1;Gruppe;MwSt;vkNetto;vkBrutto
Milram Gouda 48% - 15kg;Molkerei;7;4,19;4,48
Milram Edamer 40% - 15kg;Molkerei;7;4,19;4,48
Milram Edamer 30% - 15kg;Molkerei;7;4,19;4,48
Milram Mozzarella 40% - 15kg;Molkerei;7;5,19;5,55
Milram Gouda Schnittkäse 45% Fett - 3kg;Molkerei;7;4,99;5,34
Milram Mozzarella 40% - 2,5 kg;Molkerei;7;5,29;5,66
Milram Raspel Gouda 48% - 2kg;Molkerei;7;5,79;6,2
Milram Raspel Mozzarella 40% - 2kg;Molkerei;7;5,79;6,2
Milram Raspel Gouda-Mozzarella-Mix - 2kg;Molkerei;7;5,99;6,41
Milram Würfel Mozzarella 40% - 2kg;Molkerei;7;5,79;6,2
Milram H-Sahne 30% - 1kg;Molkerei;7;2,89;3,09
Milram Küchensahne 20% - 1kg;Molkerei;7;2,19;2,34
Milram Speisequark 40% - 5kg;Molkerei;7;12,99;13,9
Milram Speisequark mager - 5kg;Molkerei;7;8,49;9,08
Milram Speisequark mager - 10kg;Molkerei;7;16,99;18,18
Milram Schlagsahne 33% (360) - 5kg;Molkerei;7;15,99;17,11
Milram Schlagsahne 30% - 5kg;Molkerei;7;15,29;16,36
Körfez Ayran 250ml;Molkerei;7;4,79;5,13
Körfez Ayran 500ml;Molkerei;7;6,19;6,62
Körfez Joghurt 3,8% 10kg;Molkerei;7;12,49;13,36
Körfez Joghurt 3,8% 5kg;Molkerei;7;6,49;6,94
Körfez Joghurt 10% 1kg;Molkerei;7;1,79;2,13
Körfez Joghurt 3,5% 1kg;Molkerei;7;1,49;1,77
By Cesmeli  Ayran - 250 ml - 20 Stück;Molkerei;7;5,79;6,2
By Cesmeli Yoghurt - 10kg;Molkerei;7;13,99;14,97
HARIBO Helal Happy Sour Cola 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Chamallow Pink&White 70g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Chamallows Party 70g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Chamallows Rubino 70g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Croco 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Worms Sour 80g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Goldbären 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Happy Cherries 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Happy Cola 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Pommes Sauer 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Primavera Strawberries 80g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Tropi Frutti Aroma Karisik Tropik Meyve 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Helal Worms Solucan 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Veggie Bunte Tüte 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Veggie Miami Sauer 85g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Veggie Schlümpfe 100g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Veggie Pasta Frutta 85g;Snacks & Süßwaren;7;0,69;0,74
HARIBO Veggie Spaghetti Rot Sauer 85g;Snacks & Süßwaren;7;0,69;0,74
SUNTAT Labneh 12x500g Schale;Molkerei;7;2,99;3,2
TOP Papierhandtücher 2lg Weiss 3200 st 25/21;Verpackung/Reinigungsmittel/Hygiene;19;16,99;20,22
TOP Papierhandtücher 1Lg 4000 st 25/23;Verpackung/Reinigungsmittel/Hygiene;19;13,49;16,05
Handwaschlotion Neutral 5L Kanister;Verpackung/Reinigungsmittel/Hygiene;19;8,49;10,1
ZetClean Handwaschlotion Premium 5L Kanister;Verpackung/Reinigungsmittel/Hygiene;19;8,99;10,7
Müllbeutel 60L Weiss;Verpackung/Reinigungsmittel/Hygiene;19;16,49;19,62
ZetClean Handspülmittel Ohne Duft 1L;Verpackung/Reinigungsmittel/Hygiene;19;2,49;2,96
ZetClean Allzweckreiniger AZ citro 1L;Verpackung/Reinigungsmittel/Hygiene;19;1,79;2,13
Mehrweg-Löffel Transperant 20x100st;Verpackung/Reinigungsmittel/Hygiene;19;1,29;1,54
WECO Spülmittel 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;9,49;11,29
WECO Allzweckreiniger  Salmiak 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;8,99;10,7
WECO Geschirreiniger flüssig für Gewerbemaschinen 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;29,99;35,69
WECO Fettlöser 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;9,99;11,89
WECO Klarspüler 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;11,49;13,67
WECO Essigreiniger 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;8,49;10,1
WECO Allesreiniger Citrusfrisch 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;8,99;10,7
WECO Cremeseife rosa 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;8,99;10,7
